141275M,2400 (#)
141276
141276A
141281
141282
141283
141284
141286
141287
141288
141289
141290
141293
141295,24000 (#)
141298
141299
141301
141303
141304
141306
141307,0 (1404)
141309
141309P
141309T
141312
141314
141315
141316
141323
141705
141706
141707
141708B
141709
141711
141712
141713
141714
141716
141719,9000 (#)
141720
141721
141731
141732
141733
141733A,1600 (#)
141734
141735
141736
141737
141739
141740
141741
141742,0 (1404)
141742A,6000 (#)
141742B
141742G
141742L
141742P
141742V,9000 (#)
141742W
141743
141746
141747
141748
141750
141750P
141762
141763
141764
141765
141766
141767
141767C,15000 (#)
141767P,30000 (#)
141771
141772
141773
141773B
141773C
141773P
141773R
141773V
141774
141776
141777
141778
141779
141780
141780B
141780C
141780D
141780R
141781
141782
141783
141791
141796
141796A
141796P
141797
141800
141805
141806
141807
141808,18000 (#)
141809
141810
141810A
141810B
141811
141813
141814
141816
141821A
141821T
141821V
141821Y
141823,6000 (#)
141824
141825
141825P,5000 (#)
141826
141827
141829
141829A
141830
141831
141832
141833
141834
141835
141836
141837
141837A
141837S,30000 (#)
141837V
141838
141838A
141838S
141838V
141839
141840
141848
141849
141850
141851
141851S
141851V
141853
141854A
141854P
141855A
141855B
141856
141858
141859
141860
141861,50000 (#)
141863
141864
141864A
141864C
141864V
141865
141867
